Date,Price
3-Jan-22,78.25
4-Jan-22,79.39
5-Jan-22,80.6
6-Jan-22,81.99
7-Jan-22,82.28
10-Jan-22,81.56
11-Jan-22,84.98
12-Jan-22,85.83
13-Jan-22,85.8
14-Jan-22,87.17
17-Jan-22,87.82
18-Jan-22,88.83
19-Jan-22,89.64
20-Jan-22,89.75
21-Jan-22,89.75
24-Jan-22,87.74
25-Jan-22,89.49
26-Jan-22,91.22
27-Jan-22,90.7
28-Jan-22,91.47
31-Jan-22,92.35
1-Feb-22,90.24
2-Feb-22,91.43
3-Feb-22,92.99
4-Feb-22,96.86
7-Feb-22,97.28
8-Feb-22,96.07
9-Feb-22,94.95
10-Feb-22,96.37
11-Feb-22,97.5
14-Feb-22,101.66
15-Feb-22,98.43
16-Feb-22,97.44
17-Feb-22,95.28
18-Feb-22,96.18
21-Feb-22,98.95
22-Feb-22,98.73
23-Feb-22,99.29
24-Feb-22,101.29
25-Feb-22,98.56
28-Feb-22,103.08
1-Mar-22,110.93
2-Mar-22,118.94
3-Mar-22,115.36
4-Mar-22,123.86
7-Mar-22,129.02
8-Mar-22,133.18
9-Mar-22,116.58
10-Mar-22,114.54
11-Mar-22,118.11
14-Mar-22,110.39
15-Mar-22,105.14
16-Mar-22,104.61
17-Mar-22,113.5
18-Mar-22,114.32
21-Mar-22,122.29
22-Mar-22,121.53
23-Mar-22,127.52
24-Mar-22,123.98
25-Mar-22,122.67
28-Mar-22,114.5
29-Mar-22,112.79
30-Mar-22,115.59
31-Mar-22,107.29
1-Apr-22,106.13
4-Apr-22,108.15
5-Apr-22,106.6
6-Apr-22,100.81
7-Apr-22,99.83
8-Apr-22,101.26
11-Apr-22,97.92
12-Apr-22,104.42
13-Apr-22,108.49
14-Apr-22,110.83
19-Apr-22,105.49
20-Apr-22,105.05
21-Apr-22,107.2
22-Apr-22,105.15
25-Apr-22,99.27
26-Apr-22,102.89
27-Apr-22,103.3
28-Apr-22,105.78
29-Apr-22,108.36
3-May-22,104.94
4-May-22,110.53
5-May-22,112.11
6-May-22,113.86
9-May-22,106.67
10-May-22,102.61
11-May-22,107.7
12-May-22,108.06
13-May-22,112.12
16-May-22,114.86
17-May-22,112.89
18-May-22,110.04
19-May-22,113.22
20-May-22,113.63
23-May-22,115.13
24-May-22,115.77
25-May-22,116.41
26-May-22,119.81
27-May-22,121.19
30-May-22,123.01
31-May-22,125.53
1-Jun-22,122.2
3-Jun-22,125.68
6-Jun-22,124.99
7-Jun-22,126.89
8-Jun-22,129.2
9-Jun-22,128.47
10-Jun-22,127.44
13-Jun-22,128.44
14-Jun-22,127.02
15-Jun-22,124.96
16-Jun-22,125.78
17-Jun-22,119.22
20-Jun-22,118.25
21-Jun-22,118.51
22-Jun-22,115.54
23-Jun-22,114.5
24-Jun-22,117.36
27-Jun-22,119.69
28-Jun-22,122.21
29-Jun-22,120.8
30-Jun-22,119.78
1-Jul-22,119.21
4-Jul-22,121.8
5-Jul-22,110.49
6-Jul-22,108.54
7-Jul-22,113.4
8-Jul-22,113.95
11-Jul-22,114.85
12-Jul-22,106.98
13-Jul-22,107.17
14-Jul-22,107.74
15-Jul-22,112.26
18-Jul-22,117.27
19-Jul-22,114.96
20-Jul-22,115.86
21-Jul-22,112.81
22-Jul-22,106.77
25-Jul-22,108.23
26-Jul-22,107.32
27-Jul-22,109.64
28-Jul-22,109.68
29-Jul-22,111.51
1-Aug-22,106.09
2-Aug-22,106.51
3-Aug-22,101.82
4-Aug-22,97.99
5-Aug-22,100.31
8-Aug-22,103.46
9-Aug-22,103.81
10-Aug-22,105.06
11-Aug-22,107.19
12-Aug-22,103.7
15-Aug-22,98.25
16-Aug-22,95.36
17-Aug-22,97.22
18-Aug-22,96.35
19-Aug-22,96.45
22-Aug-22,95.06
23-Aug-22,99.49
24-Aug-22,99.87
25-Aug-22,98.81
26-Aug-22,101.13
30-Aug-22,99.34
31-Aug-22,96.55
1-Sep-22,92.24
2-Sep-22,93.09
5-Sep-22,94.22
6-Sep-22,91.43
7-Sep-22,86.83
8-Sep-22,87.99
9-Sep-22,91.68
12-Sep-22,93.45
13-Sep-22,92.04
14-Sep-22,92.83
15-Sep-22,89.28
16-Sep-22,89.43
20-Sep-22,89.62
21-Sep-22,89.86
22-Sep-22,90.4
23-Sep-22,84.29
26-Sep-22,82.55
27-Sep-22,85.97
28-Sep-22,89.55
29-Sep-22,89.41
30-Sep-22,88.9
3-Oct-22,90.68
4-Oct-22,93.74
5-Oct-22,94.35
6-Oct-22,95.65
7-Oct-22,98.88
10-Oct-22,97.13
11-Oct-22,95.17
12-Oct-22,93.44
13-Oct-22,95.16
14-Oct-22,92.22
17-Oct-22,91.04
18-Oct-22,89.46
19-Oct-22,91.34
20-Oct-22,91.52
21-Oct-22,91.82
24-Oct-22,91.57
25-Oct-22,91.76
26-Oct-22,92.93
27-Oct-22,94.17
28-Oct-22,94.64
31-Oct-22,93.3
1-Nov-22,95.12
2-Nov-22,96.07
3-Nov-22,95.29
4-Nov-22,99.53
7-Nov-22,99.87
8-Nov-22,96.85
9-Nov-22,93.05
10-Nov-22,94.25
11-Nov-22,96.37
14-Nov-22,93.59
