Code,Tag No,Equipment Class,Trade,Work Type,Request Date,WO Start Date,WO End Date,Total Hours Work
111201/1/2,Comp_E,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14000104,14000108,14000111,14
110295/7,Comp_D,COMPRESSOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14000102,14000103,14000103,6
110295/6,Comp_D,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14000102,14000103,14000104,6
201496,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14041209,14041209,14041209,5
201391,Comp_B,COMPRESSOR,MACHINERY,CORRECTIVE,14041206,14041208,14041208,3
201092,Comp_E,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14041127,14041126,14041126,5
200910,Comp_B,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14041121,14041122,14041123,2
200871,Comp_C,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14041120,14041120,14041120,2
200870,Comp_B,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14041120,14041120,14041120,2
200693,Comp_B,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14041114,14041116,14041116,8
197796,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14040906,14040906,14040906,16
197780/4/2,Comp_A,PUMP,WORKSHOP,CORRECTIVE,14040915,14040916,14040916,12
197780/4/1,Comp_A,PUMP,ELECTRICAL,CORRECTIVE,14040912,14040920,14040920,8
197780/4,Comp_A,PUMP,WORKSHOP,CORRECTIVE,14040912,14040912,14040922,8
197780/3,Comp_A,PUMP,CRAFT,CORRECTIVE,14040906,14040906,14040906,8
197780/2,Comp_A,PUMP,ELECTRICAL,CORRECTIVE,14040906,14040906,14040906,6
197780,Comp_A,PUMP,MACHINERY,CORRECTIVE,14040906,14040906,14040906,9
197677,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14040903,14040904,14040904,10
197654,Comp_B,COMPRESSOR,ELECTRICAL,CORRECTIVE,14040903,14040902,14040902,3
197653,Comp_A,COMPRESSOR,ELECTRICAL,CORRECTIVE,14040903,14040902,14040902,2
197644,Comp_B,ELECTRIC MOTOR,ELECTRICAL,SERVICE,14040903,14040902,14040902,6
197567,Comp_A,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040901,14041022,14041022,6
197554/1,Comp_A,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14041007,14041017,14041023,9
197554,Comp_A,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14040901,14041108,14041108,10
197553/2,Comp_A,SAFETY VALVE,CRAFT,PREVENTIVE MAINTENANCE,14041102,14041105,14041105,4
197553/1,Comp_A,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14041007,14041007,14041023,17
197553,Comp_A,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14040901,14041108,14041108,10
197552/1,Comp_A,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14041007,14041016,14041023,6
197552,Comp_A,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14040901,14041108,14041108,10
197551/1,Comp_A,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14041007,14041016,14041023,6
197551,Comp_A,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14040901,14041108,14041108,10
197531,Comp_E,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14040901,14040903,14040903,5
197518,Comp_E,COMPRESSOR,MACHINERY,CORRECTIVE,14040830,14040829,14040829,18
197377/1,Comp_E,BLOWER & FAN,ELECTRICAL,CORRECTIVE,14040826,14040910,14040910,6
197377,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14040826,14040902,14040911,6
197362,Comp_A,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040825,14041020,14041020,6
197361,Comp_A,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040825,14041021,14041021,6
197360,Comp_A,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040825,14041023,14041023,6
197359,Comp_A,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040825,14041020,14041020,6
197065,Comp_A,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040818,14041021,14041021,6
197063,Comp_A,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040818,14041023,14041023,6
196694/1,Comp_A,COMPRESSOR,WORKSHOP,CORRECTIVE,14040811,14040817,14040819,11
196694,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14040810,14040812,14040812,5
196636,Comp_E,PUMP,ELECTRICAL,CORRECTIVE,14040807,14040807,14040807,4
196537,Comp_B,COMPRESSOR,MACHINERY,CORRECTIVE,14040806,14040806,14040806,4
196533,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14040805,14041002,14041002,2
196498,Comp_A,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14040805,14040804,14040804,2
196496,Comp_E,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14040805,14040804,14040804,2
196440/1,Comp_B,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14040811,14040818,14040826,9
196439/1,Comp_B,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14040811,14040818,14040826,8
196438/1,Comp_B,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14040811,14040818,14040826,9
196358/2,Comp_C,COMPRESSOR,INSTRUMENT,CORRECTIVE,14040803,14040803,14040803,5
196358/1/1,Comp_C,COMPRESSOR,CRAFT,CORRECTIVE,14040803,14040803,14040803,8
196358/1,Comp_C,COMPRESSOR,MACHINERY,CORRECTIVE,14040803,14040803,14040803,30
196358,Comp_C,COMPRESSOR,INSTRUMENT,CORRECTIVE,14040803,14040803,14040803,10
196083,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14040728,14040728,14040728,2
196054,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14040727,14040727,14040727,6
196042/8,Comp_E,COMPRESSOR,CRAFT,CORRECTIVE,14040813,14040813,14040813,4
196042/6,Comp_E,COMPRESSOR,Condition Monitoring,CORRECTIVE,14040808,14040814,14040814,2
196042/5,Comp_E,COMPRESSOR,WORKSHOP,CORRECTIVE,14040807,14040812,14040812,5
196042/4,Comp_E,COMPRESSOR,CRAFT,CORRECTIVE,14040807,14040813,14040813,4
196042/3,Comp_E,COMPRESSOR,WORKSHOP,CORRECTIVE,14040805,14040805,14040805,1
196042/2,Comp_E,COMPRESSOR,WORKSHOP,CORRECTIVE,14040730,14040814,14040814,3
196042/1,Comp_E,COMPRESSOR,ELECTRICAL,CORRECTIVE,14040728,14040729,14040729,4
196042,Comp_E,COMPRESSOR,MACHINERY,CORRECTIVE,14040727,14040727,14040814,182
196040/1,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14040728,14040728,14040728,8
196040,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14040727,14040730,14040730,5
195941,Comp_E,BLOWER & FAN,ELECTRICAL,CORRECTIVE,14040726,14040730,14040730,3
195940,Comp_E,ELECTRICAL SWITCH,ELECTRICAL,CORRECTIVE,14040726,14040727,14040727,8
195867,Comp_D,COMPRESSOR,CRAFT,SERVICE MAINTENANCE,14040723,14040729,14040729,8
195866,Comp_D,COMPRESSOR,WORKSHOP,SERVICE MAINTENANCE,14040723,14040724,14040724,4
195497,Comp_B,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14040715,14040716,14040716,2
195496,Comp_C,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14040715,14040716,14040716,2
195415,Comp_B,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040714,14041024,14041024,8
195412,Comp_B,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040714,14041024,14041024,8
195411,Comp_B,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040714,14041023,14041023,6
195232,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14040711,14040711,14040711,4
195227,Comp_A,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14040711,14040710,14040710,9
195209,Comp_B,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040710,14041024,14041024,8
195208,Comp_B,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040710,14041024,14041024,8
195204,Comp_B,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040710,14041023,14041023,6
195203,Comp_B,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14040710,14041024,14041024,8
194920,Comp_D,COMPRESSOR,WORKSHOP,SERVICE MAINTENANCE,14040705,14040709,14040721,18
194886/1,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14040703,14040707,14040707,12
194886,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14040703,14040703,14040703,2
194877,Comp_D,ELECTRIC MOTOR,CRAFT,SERVICE,14040702,14040716,14040716,10
194663,Comp_E,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14040630,14040630,14040630,5
193591/4,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14040626,14040629,14040629,8
193591/3,Comp_D,COMPRESSOR,ELECTRICAL,CORRECTIVE,14040622,14040623,14040625,14
193591/2,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14040622,14040618,14040622,12
193591/1,Comp_D,COMPRESSOR,ELECTRICAL,CORRECTIVE,14040622,14040624,14040624,4
193591,Comp_D,COMPRESSOR,ELECTRICAL,CORRECTIVE,14040618,14040622,14040626,16
193243/2,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14040623,14040629,14040629,36
193243/1,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14040618,14040618,14040618,8
193243,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14040615,14040618,14040630,71
193242,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14040615,14040710,14040710,21
193239/4,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14040702,14040707,14040707,8
193239/3,Comp_D,COMPRESSOR,WORKSHOP,CORRECTIVE,14040626,14040629,14040629,30
193239/2,Comp_D,COMPRESSOR,WORKSHOP,CORRECTIVE,14040624,14040625,14040625,24
193239/1,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14040624,14040629,14040629,36
193239,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14040615,14040629,14040629,35
193204,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14040613,14040615,14040615,10
192976,Comp_A,HEAT EXCHANGER,FIX MECHANICAL,CORRECTIVE,14040609,14040615,14040615,5
192875,Comp_A,COMPRESSOR,INSTRUMENT,SERVICE,14040608,14040608,14040608,2
192735,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14040602,14040602,14040602,2
192729,Comp_E,COMPRESSOR,Condition Monitoring,CORRECTIVE,14040602,14040602,14040602,2
192046,Comp_E,COMPRESSOR,Condition Monitoring,CORRECTIVE,14040512,14040512,14040512,3
191060,Comp_D,HEAT EXCHANGER,CRAFT,SERVICE,14040430,14040430,14040430,10
190766,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14040428,14040430,14040430,5
189921,Comp_A,COMPRESSOR,INSTRUMENT,CORRECTIVE,14040418,14040423,14040423,4
189381/1,Comp_D,COMPRESSOR,WORKSHOP,CORRECTIVE,14040428,14040429,14040429,16
189381,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14040416,14040430,14040430,5
189334,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14040414,14040414,14040414,5
189236,Comp_A,COMPRESSOR,MACHINERY,CORRECTIVE,14040410,14040415,14040415,6
189197/1,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14040412,14040412,14040412,12
189197,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14040410,14040412,14040412,4
