Equipment,Wo Start Date,Wo Type Code,Code
E-8105A,1404/1/23,PM,B
E-8105B,1404/1/23,PM,B
E-8105C,1404/1/23,PM,B
E-8105D,1404/1/23,PM,B
E-8105E,1404/1/23,PM,B
E-8105F,1404/1/23,PM,B
E-8106A,1404/1/24,PM,B
E-8106B,1404/1/24,PM,B
E-8106C,1404/1/24,PM,B
E-8106D,1404/1/24,PM,B
E-8106E,1404/1/24,PM,B+C
E-8106F,1404/1/24,PM,B
E-8107A,1404/1/24,PM,B
E-8107B,1404/1/24,PM,B
E-8106F,1404/3/6,CM,C
E-8106E,1404/3/6,CM,C
E-8105E,1404/3/6,CM,C+E
E-8105B,1404/3/8,CM,C
E-8105D,1404/4/18,CM,C
E-8105A,1404/4/30,PM,B
E-8105B,1404/4/30,PM,B
E-8105C,1404/4/30,PM,B
E-8105D,1404/4/30,PM,B
E-8105E,1404/4/30,PM,B
E-8105F,1404/4/30,PM,B
E-8106A,1404/4/30,PM,B
E-8106B,1404/4/30,PM,B
E-8106C,1404/4/30,PM,B
E-8106D,1404/4/30,PM,B
E-8106E,1404/4/30,PM,B
E-8106F,1404/4/30,PM,B
E-8107A,1404/4/30,PM,B
E-8107B,1404/4/30,PM,B
E-8105E,1404/5/5,CM,G
E-8105F,1404/5/10,CM,C
E-8105D,1404/5/14,CM,C
E-8106F,1404/5/19,CM,C
E-8105E,1404/5/27,CM,C
E-8106F,1404/6/27,CM,C
E-8106C,1404/7/9,CM,C
E-8106C,1404/7/10,CM,C
E-8105A,1404/08/19,PM,B
E-8105B,1404/08/19,PM,B+D
E-8105C,1404/08/19,PM,B+D
E-8105D,1404/08/19,PM,B
E-8105E,1404/08/19,PM,B+C+D
E-8105F,1404/08/19,PM,B+C
E-8106A,1404/08/19,PM,B+C
E-8106B,1404/08/20,PM,B
E-8106C,1404/08/20,PM,B
E-8106D,1404/08/20,PM,B
E-8106E,1404/08/20,PM,B
E-8106F,1404/08/20,PM,B
E-8107A,1404/08/20,PM,B
E-8107B,1404/08/20,PM,B
E-8106E,1404/11/15,CM,C
E-8105A,1404/11/28,PM,A
E-8105B,1404/11/28,PM,A
E-8105C,1404/11/28,PM,A
E-8105D,1404/11/28,PM,A
E-8105E,1404/11/28,PM,A
E-8105F,1404/11/28,PM,A
E-8106A,1404/11/28,PM,A
E-8106B,1404/11/28,PM,A
E-8106C,1404/11/28,PM,A+C
E-8106D,1404/11/28,PM,A+C
E-8106E,1404/11/28,PM,A
E-8106F,1404/11/28,PM,A
E-8107A,1404/11/28,PM,A
E-8107B,1404/11/28,PM,A
E-8105F,1403/1/14,CM,C+E
E-8105A,1403/1/20,PM,A
E-8105B,1403/1/20,PM,A
E-8105C,1403/1/20,PM,A+C
E-8105D,1403/1/20,PM,A
E-8105E,1403/1/20,PM,A
E-8105F,1403/1/20,PM,A
E-8106A,1403/1/30,PM,A
E-8106B,1403/1/30,PM,A
E-8106C,1403/1/30,PM,A
E-8106D,1403/1/30,PM,A
E-8106E,1403/1/30,PM,A
E-8106F,1403/1/30,PM,A
E-8107A,1403/1/30,PM,A
E-8107B,1403/1/30,PM,A
E-8106E,1403/3/9,CM,G
E-8105E,1403/3/11,CM,C
E-8106E,1403/3/19,CM,C
E-8106A,1403/3/20,CM,C
E-8105F,1403/3/29,CM,C
E-8105A,1403/4/5,CM,C
E-8105E,1403/4/9,CM,C+E
E-8105D,1403/4/15,CM,C
E-8105F,1403/4/24,CM,C
E-8106F,1403/5/2,CM,C
E-8105D,1403/5/16,CM,C
E-8106A,1403/5/20,CM,C
E-8105A,1403/6/11,PM,B+C
E-8105B,1403/6/11,PM,B
E-8105C,1403/6/11,PM,B+C
E-8105D,1403/6/11,PM,B+D
E-8105E,1403/6/11,PM,B
E-8105F,1403/6/11,PM,B+D
E-8106A,1403/6/15,PM,B
E-8106B,1403/6/15,PM,B
E-8106C,1403/6/15,PM,B+D
E-8106D,1403/6/15,PM,B
E-8106E,1403/6/15,PM,B
E-8106F,1403/6/15,PM,B
E-8107A,1403/6/15,PM,B
E-8107B,1403/6/15,PM,B
E-8107A,1403/6/18,CM,G
E-8105B,1403/8/10,CM,C
E-8106C,1403/10/2,CM,C
E-8106C,1403/10/12,CM,C
E-8105A,1403/10/17,PM,A
E-8105B,1403/10/17,PM,A+C
E-8105C,1403/10/17,PM,A
E-8105D,1403/10/17,PM,A
E-8105E,1403/10/17,PM,A
E-8105F,1403/10/17,PM,A
E-8106A,1403/10/17,PM,A
E-8106B,1403/10/17,PM,A
E-8106C,1403/10/17,PM,A+C
E-8106D,1403/10/17,PM,A
E-8106E,1403/10/17,PM,A
E-8106F,1403/10/17,PM,A
E-8107A,1403/10/17,PM,A+C
E-8107B,1403/10/17,PM,A
E-8106A,1403/11/20,CM,4*D
E-8106A,1402/2/13,CM,M
E-8106D,1402/2/16,CM,G
E-8106A,1402/03/10,CM,G
E-8106B,1402/03/10,CM,G
E-8105E,1402/4/4,CM,C+D
E-8105A,1402/04/10,PM,B
E-8105B,1402/04/10,PM,B
E-8105C,1402/04/10,PM,B
E-8105D,1402/04/10,PM,B
E-8105E,1402/04/10,PM,B
E-8105F,1402/04/10,PM,B
