Code,Issue Date,Uom,Req Qty,Issue Qty
22048551,13991126,LT,1040,1040
22016552,13991126,LT,208,208
22060692,13991219,LT,440,440
28069722,13991219,LT,416,416
13260022,13991219,LT,624,624
13847012,13991219,LT,624,624
13260522,13991219,LT,624,624
13847012,13991219,LT,1540,1540
28680022,13991225,LT,208,208
66511001,14000119,KG,20,2
22016552,14000123,LT,2080,2080
22060692,14000124,LT,184,184
27464622,14000205,LT,2080,2080
22017822,14000208,LT,2000,2000
66512022,14000213,CN,10,10
71014022,14000213,CN,10,9
27222222,14000215,LT,624,624
65840901,14000219,KG,80,80
65534502,14000219,KG,80,0
65423262,14000219,KG,40,40
66511001,14000226,KG,1,1
71015592,14000226,CN,1,1
22017822,14000313,LT,1100,1100
27222222,14000313,LT,220,220
27323321,14000322,LT,1664,1664
22016552,14000330,LT,2080,2080
22016642,14000407,LT,220,208
28069722,14000407,LT,220,208
13847012,14000409,LT,220,208
13260022,14000419,LT,624,624
13260522,14000419,LT,624,208
13847012,14000419,LT,832,832
22048551,14000504,LT,1040,1040
22016552,14000518,LT,2496,2496
66512022,14000519,CN,10,10
65423262,14000617,KG,18,18
22017822,14000710,LT,2200,2200
65423262,14000711,KG,18,18
22016642,14000717,LT,208,208
31926526,14000717,LT,208,208
38243522,14000724,CN,40,40
38243542,14000724,CN,100,100
22048551,14000725,LT,880,840
27151532,14000727,LT,440,420
27323321,14000803,LT,1040,1040
27366622,14000815,LT,210,210
13847012,14000830,LT,832,0
13260022,14000830,LT,416,416
13260522,14000830,LT,416,416
28069722,14000830,LT,628,628
27323321,14001008,LT,1040,1040
65534302,14001022,KG,40,40
22016552,14001022,LT,440,440
22016552,14001022,LT,2496,2496
33026522,14001110,LT,600,600
65423262,14001124,KG,90,90
65523502,14001124,KG,45,45
22060692,14001124,LT,220,220
22016552,14001224,LT,1680,1680
65523502,14010116,KG,30,30
65534502,14010116,KG,30,30
26185022,14010121,LT,208,208
13260022,14010121,LT,624,624
13260522,14010121,LT,624,624
22016552,14010123,LT,1960,1960
66511001,14010127,KG,15,15
28069722,14010217,LT,208,204
65423262,14010218,KG,35,34
65840901,14010218,KG,54,54
22016552,14010218,LT,7280,7280
22016552,14010303,LT,3536,3536
27323321,14010324,LT,832,832
22060692,14010425,LT,208,208
28069722,14010508,LT,416,0
13847012,14010508,LT,624,0
26185022,14010508,LT,624,0
13260022,14010508,LT,416,416
13260522,14010508,LT,416,416
22016552,14010530,LT,1664,1664
38243542,14010602,CN,100,100
38243522,14010602,CN,100,100
13847012,14010606,LT,832,832
13847012,14010606,LT,440,416
65534502,14010608,KG,16,16
65523502,14010608,KG,15,15
65534502,14010608,KG,15,15
65840901,14010608,KG,18,18
13847012,14010615,LT,2080,832
22016552,14010621,LT,2496,2496
13847012,14010629,LT,220,0
28069722,14010709,LT,624,624
65423262,14010724,KG,90,0
65840901,14010724,KG,90,90
65523502,14010724,KG,40,30
28069722,14010726,LT,624,624
27323321,14010802,LT,1040,1040
13260022,14010803,LT,624,416
13847012,14010803,LT,624,0
22016552,14010825,LT,832,832
22048551,14010825,LT,832,832
28680022,14010920,LT,208,208
65840901,14011005,KG,18,18
13847012,14011007,LT,832,832
71014322,14011011,CN,1,1
66512022,14011011,CN,2,2
66512022,14011011,CN,10,10
66512022,14011013,CN,1,1
71014322,14011013,CN,1,1
13847012,14011019,LT,2080,2080
13847012,14011104,LT,220,208
27323321,14011104,LT,2496,2496
65523502,14011117,KG,30,30
65534502,14011117,KG,30,30
22048551,14011124,LT,624,624
22016552,14011124,LT,832,832
22016552,14011124,LT,416,416
22016552,14011124,LT,416,416
65423262,14011227,KG,150,0
65534502,14011227,KG,150,150
13260022,14011227,LT,832,0
13260522,14011227,LT,832,624
13847012,14011227,LT,1040,1040
26185022,14011227,LT,416,0
38243522,14020105,CN,150,150
38243542,14020105,CN,160,160
71015592,14020114,CN,6,6
13847012,14020205,LT,208,208
14075521,14020219,LT,416,416
38211011,14020328,LT,200,200
22016552,14020329,LT,3328,3328
31927302,14020406,LT,208,200
22016552,14020406,LT,1960,1664
37621522,14020414,LT,208,208
28033022,14020424,LT,416,416
28069722,14020425,LT,624,624
65534502,14020507,KG,54,0
22016552,14020510,LT,2496,2496
65523502,14020529,KG,45,0
65534502,14020529,KG,45,45
22060692,14020604,LT,220,208
22016552,14020606,LT,832,832
71015592,14020608,CN,3,3
65534502,14020611,KG,30,30
13260022,14020704,LT,1040,1040
13260022,14020716,LT,208,208
28069722,14020716,LT,624,624
27323321,14020724,LT,2080,2080
22016552,14020725,LT,12,12
22048551,14020725,LT,1248,1248
13847012,14020801,LT,440,0
22016552,14020806,LT,440,416
65534502,14020816,KG,60,14
65423262,14020816,KG,40,0
28680022,14020823,LT,416,416
27323321,14020827,LT,416,416
13260022,14020904,LT,624,624
22016552,14020906,LT,3328,3328
13260522,14020911,LT,624,624
65534502,14020919,KG,26,26
13847012,14021006,LT,1040,1040
13847012,14021006,LT,2080,2080
66511001,14021026,KG,30,20
22048551,14021104,LT,1248,1248
22016552,14021104,LT,4160,4160
65523502,14021110,KG,16,16
22017822,14021123,LT,10100,10100
27323321,14021128,LT,2496,12
22060692,14021209,LT,220,208
14075521,14021209,LT,220,208
13847012,14021219,LT,208,208
28069722,14021223,LT,208,208
28033022,14021227,LT,208,208
65840901,14030120,KG,72,72
13260522,14030126,LT,624,624
13847012,14030126,LT,832,832
28069722,14030126,LT,624,624
26185022,14030129,LT,416,0
65534502,14030203,KG,64,64
66512022,14030203,CN,20,7
66512022,14030216,CN,20,7
65534502,14030218,KG,36,36
65523502,14030218,KG,36,36
38243542,14030312,CN,100,100
38243522,14030312,CN,35,35
65530121,14030323,KG,80,80
65840901,14030406,KG,6,5
65534502,14030416,KG,64,64
22016552,14030416,LT,3328,3328
65530121,14030425,KG,54,54
65840901,14030425,KG,20,20
22048551,14030516,LT,1040,1040
22016552,14030516,LT,2496,2496
65840901,14030517,KG,10,10
65530121,14030521,KG,72,72
38211011,14030522,LT,268,268
22017822,14030531,LT,1050,1040
26185022,14030702,LT,416,0
66511001,14030702,KG,20,14
22017822,14030704,LT,1664,1664
22048551,14030707,LT,220,8
22017822,14030707,LT,1100,1040
65523502,14030718,KG,32,32
65534502,14030718,KG,48,48
65534552,14030730,KG,72,72
65840901,14030805,KG,5,5
27323321,14030819,LT,1040,1040
22016552,14030917,LT,3328,3328
38243522,14030925,CN,35,35
38243542,14030925,CN,100,35
13847012,14030925,LT,1040,1040
65840901,14031024,KG,18,18
22016552,14031029,LT,440,416
22048551,14031128,LT,1040,1040
22016552,14031128,LT,4992,1766
22016552,14031128,LT,208,208
22016642,14031129,LT,208,208
22060692,14031225,LT,220,196
66511001,14031225,KG,2,2
65534502,14031225,KG,10,10
31927302,14031225,LT,100,100
65534502,14031227,KG,16,16
65534502,14040106,KG,32,32
27323321,14040215,LT,1040,1040
38243522,14040222,CN,30,30
38243542,14040222,CN,30,29
13847012,14040230,LT,440,440
65523502,14040230,KG,32,32
65534502,14040230,KG,32,32
65534502,14040231,KG,48,48
65840901,14040231,KG,20,5
22048551,14040231,LT,2080,2080
22016552,14040231,LT,1664,1664
22060692,14040307,LT,624,624
26185022,14040317,LT,416,0
28069722,14040317,LT,832,832
13260522,14040317,LT,832,832
66511001,14040401,KG,20,20
22016552,14040407,LT,1664,1664
22016552,14040409,LT,832,832
65534502,14040417,KG,48,48
65523502,14040423,KG,32,32
65534502,14040423,KG,32,32
66512022,14040428,CN,25,25
22016552,14040429,LT,3328,3328
28069722,14040514,LT,208,208
28069722,14040525,LT,208,208
13847012,14040608,LT,824,824
27323321,14040611,LT,208,208
22016552,14040629,LT,4160,4160
26185022,14040630,LT,416,416
28069722,14040630,LT,208,208
26126822,14040630,LT,208,208
27224022,14040630,LT,208,0
28069722,14040702,LT,208,208
65534502,14040702,KG,48,48
28069722,14040706,LT,208,208
65523502,14040713,KG,32,12
65534502,14040713,KG,32,32
39985222,14040714,LT,400,400
261022,14040714,LT,400,400
31927302,14040715,LT,40,40
65534502,14040730,KG,64,64
13260522,14040730,LT,832,832
26185022,14040730,LT,416,416
14075521,14040810,LT,440,208
65534502,14040905,KG,64,60
37621522,14040908,LT,208,208
27323321,14040911,LT,1040,1040
38211011,14040916,LT,100,100
71015592,14040919,CN,5,5
22016552,14040924,LT,4160,4160
22016552,14041009,LT,3328,3328
28069722,14041014,LT,208,208
13847012,14041014,LT,832,832
26185022,14041014,LT,408,0
13260022,14041118,LT,208,208
65530121,14041121,KG,17,17
13260522,14050103,LT,832,832
