time,oil_pressure,oil_flow,temperature,motor_current,bearing_vibration
0,4.89143694,4.209708665,53.07306348,11.75733391,8.273718747
1,5.099734545,4.500943672,52.6547067,10.70464231,7.834495518
2,5.02829785,4.6300939,52.23820215,11.14575294,7.73438135
3,4.849370529,4.423130084,52.01096913,10.77278318,7.376946517
4,4.942139975,4.344057089,52.00584838,11.12829631,7.651465305
5,5.165143654,4.66816392,51.53378966,11.27632589,7.663000679
6,4.757332076,4.306486951,51.44484378,11.1229645,7.323448218
7,4.957108737,4.510270315,51.09991142,11.13058058,7.635227278
8,5.126593626,4.613648187,50.84143493,11.61827025,7.822389985
9,4.91332596,4.336126016,50.79769937,11.34281456,7.510118313
10,4.932111385,4.538249634,50.38726115,11.04309549,7.499278841
11,4.990529103,4.393566582,50.14870641,11.07323111,7.106451358
12,5.149138963,4.458904791,50.05068753,11.34505264,7.22522198
13,4.9361098,4.373382981,49.99192488,11.33954688,7.710731508
14,4.955601804,4.438752079,49.75223153,10.97391412,7.342913024
15,4.956564872,4.484879239,49.60840562,10.55866188,7.274898235
16,5.220593008,4.555097432,49.3249833,10.73870001,7.293981707
17,5.218678609,4.705689097,48.66934899,11.14711002,7.355441674
18,5.10040539,4.585389652,48.43358066,10.53079318,7.111674884
19,5.03861864,4.453691362,48.46217811,11.06000982,7.371521112
20,5.073736858,4.633141406,48.36893896,10.9236631,7.064892361
21,5.149073203,4.705550757,47.92965666,11.41694069,7.447765667
22,4.906416613,4.433981498,47.89947837,10.66636736,7.078536682
23,5.117582904,4.549051438,47.85227697,10.55286151,7.54928136
24,4.874611933,4.247390025,48.07226239,10.96989073,7.305219708
25,4.93622485,4.420983651,48.05700704,11.26091471,7.136571818
26,5.09071052,4.52527564,47.81061133,11.44047857,7.463353255
27,4.85713193,4.438817099,47.6169855,10.77522177,6.986799174
28,4.985993128,4.474753234,47.61482517,11.21388953,7.152069388
29,4.91382451,4.4726974,47.39692949,10.75252254,7.239677844
30,3.570331012,3.795607636,48.34836273,10.8719422,7.310602913
31,3.440189467,3.51112227,49.44591504,11.22670958,7.042874411
32,3.72007021,3.682944898,50.36250437,11.31826333,7.352121128
33,3.568829693,3.510381284,51.40441906,10.85129909,7.674088774
34,3.499369275,3.598755518,52.43048221,11.26432998,7.479069909
35,3.47933377,3.68528156,53.20190816,10.65047156,8.073476676
36,3.491347771,3.419701628,54.46132739,11.14597767,8.045168917
37,3.408469293,3.478495879,55.27539591,10.84842932,7.924691512
38,3.490479746,3.597881898,56.0377791,10.96664811,8.059719417
39,3.527868352,3.701731299,56.58563956,10.89680831,8.530876781
40,3.557954162,3.673059521,57.16888347,11.42670082,8.404086037
41,3.557968978,3.66732775,57.86304505,11.42051459,8.362348334
42,3.472512245,3.561076069,58.56623487,11.00366783,8.073519733
43,3.358391775,3.563222491,59.05893753,11.42244709,8.731816017
44,3.433089737,3.661284231,59.56286644,11.37839679,8.666766858
45,3.661219304,3.525832405,60.13080719,11.23397442,8.483399641
46,3.589605831,3.726617039,60.39326496,11.91185909,8.429386882
47,3.536961959,3.612301195,60.94971179,11.03134497,8.557390392
48,3.423870576,3.501323459,61.46454644,11.26520162,8.406067308
49,3.500364515,3.355911131,62.17352891,11.17876326,8.623195779
50,3.374433131,3.386624746,62.84753874,11.22907389,8.937385977
51,3.444806312,3.736689687,63.10580824,11.31518209,8.449056569
52,3.475479666,3.516432946,63.6134124,11.23146024,8.798526365
53,3.463836007,3.469824727,64.07780188,11.08145168,8.930531382
54,3.595660193,3.61175352,64.3234903,11.38022764,8.953062637
55,3.358127409,3.440361723,64.70059205,11.66484027,8.734271814
56,3.413456773,3.560509927,64.93656243,11.59641376,8.757225665
57,3.362531203,3.66921609,65.0243014,11.44395283,9.220263217
58,3.376264679,3.467097212,65.43208848,11.09912641,8.798303029
59,3.51240559,3.622872359,65.8225584,11.44852678,9.283986031
60,3.339955947,3.389249854,66.24425896,11.67958583,9.027952833
61,3.575386878,3.797248771,66.13062526,11.75671005,9.329021796
62,3.475318422,3.604095398,66.10854886,11.461902,9.026639185
63,3.506878833,3.495945388,66.49936104,11.22818912,8.91664184
64,3.532257674,3.709785226,66.3636141,11.33532503,9.307672381
65,3.456583348,3.693948774,66.32302778,11.60093746,9.128824534
66,3.603247972,3.678094419,66.50079188,11.62187304,9.439794505
67,3.480565727,3.42439974,66.69884981,10.87493887,9.348324998
68,3.559407026,3.814161097,66.57930863,11.5643921,9.112045537
69,3.480088762,3.619065509,66.8004019,11.5769025,9.09010667
70,3.529087439,3.734497893,66.92678313,11.11344549,9.197352782
71,3.527966267,3.56169044,67.0365558,11.1567603,9.241697584
72,3.524996994,3.575135804,67.15236667,11.12868381,9.038886962
73,3.402569215,3.55258684,67.53592344,11.2092182,9.421980259
74,3.543587577,3.737492714,67.46732523,10.9500641,9.167259824
75,3.468104301,3.595161583,67.52377363,11.46909335,9.167771814
